Candidate_ID,Age,Education_Level,Experience_Years,Career_Level,Target_Role,Num_Skills,Skill_Match_Ratio,Expected_Salary_USD,Employability_Status,Recommended_Skills,Python,SQL,ML,Deep_Learning,Data_Viz,Excel,Power_BI,Tableau,NLP,Cloud_AWS,Cloud_Azure,Docker,Spark,TensorFlow,Statistics,R,Java,JavaScript,Communication,Project_Management
CAND0001,36,Bachelor,12.8,Advanced,Data Scientist,12,1.0,125900,High,None – Profile Complete,1,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0,0,1,0
CAND0002,30,Associate,8.4,Advanced,AI Researcher,6,0.4,116300,Medium,"ML, NLP, Statistics",1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CAND0003,34,High School,14.0,Advanced,BI Developer,4,0.6,60400,Medium,"SQL, Power_BI",0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
CAND0004,26,Bachelor,3.8,Advanced,BI Developer,4,0.8,55000,Medium,SQL,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CAND0005,24,Master,1.8,Intermediate,AI Researcher,7,0.8,129900,High,NLP,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0
CAND0006,26,Bachelor,3.7,Advanced,Business Analyst,8,1.0,67400,High,None – Profile Complete,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1
CAND0007,24,Master,1.9,Intermediate,Data Analyst,8,0.8,68300,Medium,Statistics,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0
CAND0008,27,Associate,3.1,Advanced,BI Developer,9,0.8,75700,Medium,Data_Viz,0,1,0,0,0,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0
CAND0009,24,Bachelor,3.7,Advanced,ML Engineer,6,0.6,125200,Medium,"TensorFlow, Python",0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
CAND0010,23,Associate,1.3,Intermediate,ML Engineer,5,0.6,107200,Low,"Deep_Learning, Docker",1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
CAND0011,24,Bachelor,2.1,Intermediate,Data Engineer,5,0.4,99000,Low,"Docker, Python, SQL",0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0
CAND0012,27,Bachelor,7.3,Advanced,ML Engineer,8,0.8,132600,High,ML,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0
CAND0013,29,High School,6.8,Advanced,Data Scientist,4,0.2,94600,Low,"ML, SQL, Statistics",1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
CAND0014,28,Master,5.1,Advanced,Data Scientist,7,0.8,116700,High,Python,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
CAND0015,26,Bachelor,2.4,Intermediate,Data Engineer,9,1.0,113700,High,None – Profile Complete,1,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0
CAND0016,28,Associate,5.4,Advanced,Business Analyst,3,0.2,57900,Low,"Excel, Communication, SQL",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
CAND0017,23,Master,3.9,Advanced,Data Analyst,7,0.8,69500,High,Excel,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
CAND0018,26,Bachelor,3.6,Advanced,ML Engineer,6,1.0,143300,High,None – Profile Complete,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
CAND0019,28,Bachelor,6.4,Advanced,Business Analyst,7,0.8,78300,High,Project_Management,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0
CAND0020,26,Master,2.0,Intermediate,Business Analyst,7,0.6,68000,Medium,"Excel, Project_Management",0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0
CAND0021,33,Master,10.3,Advanced,Data Scientist,8,0.8,105700,High,SQL,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1
CAND0022,30,Master,9.1,Advanced,Software Engineer,7,1.0,103100,High,None – Profile Complete,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0
CAND0023,24,Bachelor,1.8,Intermediate,Data Scientist,8,0.8,92300,Medium,Python,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0
CAND0024,29,Bachelor,5.7,Advanced,Software Engineer,7,1.0,96800,High,None – Profile Complete,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0
CAND0025,24,PhD,2.8,Intermediate,Data Analyst,7,0.8,74000,High,Excel,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
CAND0026,27,Associate,1.7,Intermediate,BI Developer,5,0.6,58800,Medium,"SQL, Data_Viz",0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0
CAND0027,28,Bachelor,3.5,Advanced,Data Scientist,5,0.6,90700,Medium,"SQL, Statistics",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
CAND0028,26,Bachelor,4.8,Advanced,Business Analyst,6,0.6,68700,Medium,"Excel, Project_Management",1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0
CAND0029,28,Associate,7.6,Advanced,Data Engineer,4,0.2,79800,Low,"Spark, Cloud_AWS, Docker",0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
CAND0030,24,Master,1.3,Intermediate,Software Engineer,6,0.8,93500,Medium,Docker,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0
CAND0031,24,Master,2.0,Intermediate,ML Engineer,7,0.8,143600,Medium,Docker,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1
CAND0032,34,PhD,10.0,Advanced,Data Analyst,9,0.8,96000,High,Excel,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0
CAND0033,25,Master,4.4,Advanced,BI Developer,8,1.0,76400,High,None – Profile Complete,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0
CAND0034,26,Bachelor,2.5,Intermediate,Data Analyst,2,0.0,54400,Low,"SQL, Excel, Data_Viz",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
CAND0035,30,Master,7.3,Advanced,Data Engineer,6,1.0,109100,High,None – Profile Complete,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0
CAND0036,20,High School,0.7,Beginner,ML Engineer,1,0.2,96200,Low,"ML, TensorFlow, Docker",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAND0037,24,Master,2.2,Intermediate,Business Analyst,8,0.6,71100,Medium,"Excel, SQL",1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1
CAND0038,31,Master,8.8,Advanced,BI Developer,7,0.6,79600,High,"Tableau, Excel",0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0
CAND0039,22,Associate,2.2,Intermediate,ML Engineer,2,0.4,103100,Low,"ML, TensorFlow, Python",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CAND0040,29,Master,5.2,Advanced,BI Developer,5,0.6,78200,High,"Power_BI, Data_Viz",0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
CAND0041,27,Bachelor,3.5,Advanced,ML Engineer,6,0.8,126700,Medium,TensorFlow,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
CAND0042,39,PhD,13.9,Advanced,BI Developer,11,1.0,99400,High,None – Profile Complete,0,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,0
CAND0043,32,High School,10.5,Advanced,BI Developer,4,0.6,57100,Medium,"Power_BI, Excel",0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
CAND0044,24,Master,2.7,Intermediate,Data Scientist,5,0.8,97700,Medium,Statistics,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CAND0045,30,PhD,6.4,Advanced,Data Engineer,7,1.0,113600,High,None – Profile Complete,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0
CAND0046,28,Master,6.6,Advanced,ML Engineer,6,0.6,127800,High,"Deep_Learning, TensorFlow",1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
CAND0047,25,Bachelor,2.2,Intermediate,Data Engineer,7,0.4,107400,Low,"Spark, Docker, SQL",1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1
CAND0048,35,Master,5.4,Advanced,ML Engineer,5,0.6,123400,Medium,"ML, Docker",1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
CAND0049,25,Master,2.8,Intermediate,Business Analyst,7,0.8,75400,Medium,Project_Management,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0
CAND0050,27,Bachelor,3.9,Advanced,Data Analyst,7,0.4,68800,Low,"SQL, Data_Viz, Power_BI",0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0
CAND0051,20,High School,0.2,Beginner,Software Engineer,5,0.2,79100,Low,"Cloud_AWS, Docker, Python",0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0
CAND0052,24,Master,2.2,Intermediate,Business Analyst,4,0.8,57300,Medium,Excel,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
CAND0053,28,Associate,3.4,Advanced,ML Engineer,5,0.4,124200,Low,"TensorFlow, Docker, Python",0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
CAND0054,26,Master,2.5,Intermediate,Data Scientist,7,1.0,93400,High,None – Profile Complete,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
CAND0055,34,High School,13.1,Advanced,Data Engineer,9,0.8,130900,High,Python,0,1,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0
CAND0056,24,Bachelor,2.0,Intermediate,Data Analyst,8,0.8,65400,Medium,Power_BI,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1
CAND0057,29,Master,2.5,Intermediate,Data Engineer,6,0.8,102900,Medium,Docker,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
CAND0058,28,Bachelor,6.5,Advanced,AI Researcher,7,0.8,126500,High,ML,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0
CAND0059,20,Bachelor,1.2,Intermediate,Business Analyst,7,0.6,68200,Medium,"Communication, SQL",0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1
CAND0060,25,Bachelor,4.6,Advanced,Business Analyst,6,0.6,68600,Medium,"Communication, Project_Management",1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
CAND0061,29,Bachelor,4.7,Advanced,Software Engineer,5,0.4,94700,Medium,"Cloud_AWS, Docker, Python",0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
CAND0062,27,Associate,4.5,Advanced,Business Analyst,6,0.8,63200,Medium,Project_Management,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0
CAND0063,32,PhD,5.0,Advanced,Data Scientist,9,1.0,108100,High,None – Profile Complete,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1
CAND0064,25,PhD,3.6,Advanced,Data Scientist,7,1.0,113600,High,None – Profile Complete,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
CAND0065,23,Associate,1.9,Intermediate,Software Engineer,3,0.6,77300,Medium,"Cloud_AWS, Java",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
CAND0066,32,Master,9.6,Advanced,Data Scientist,9,1.0,125600,High,None – Profile Complete,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0
CAND0067,25,Bachelor,1.6,Intermediate,Data Scientist,7,0.4,98100,Low,"ML, Python, SQL",0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0
CAND0068,29,Bachelor,6.8,Advanced,Data Analyst,6,0.8,72500,High,Data_Viz,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
CAND0069,28,Master,3.4,Advanced,Data Analyst,6,0.8,67800,High,Power_BI,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0
CAND0070,32,Bachelor,9.8,Advanced,ML Engineer,8,0.4,116300,Medium,"ML, TensorFlow, Python",0,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1
