Experience,Skills_Count,Salary,Employable
6,6,56646,0
3,1,134185,0
7,9,53049,0
4,6,109605,1
6,3,128116,1
9,4,127379,0
2,4,98385,0
6,3,70158,1
7,3,95417,1
4,3,53289,0
3,4,140226,0
7,7,130793,1
7,4,39823,0
2,9,90160,0
5,1,71975,0
4,8,39540,1
1,7,46364,1
7,2,34611,1
5,8,57663,1
1,1,81991,1
4,9,87679,1
0,9,134182,1
9,2,60977,0
5,7,124704,0
8,3,79115,0
0,7,121007,0
9,9,118223,0
2,4,90890,0
6,1,96387,0
3,2,48071,1
8,1,89275,1
2,5,102369,0
4,5,41938,0
2,7,65195,1
6,9,121680,0
4,9,34000,0
8,3,100588,1
6,3,131042,0
1,3,123610,1
3,4,133691,0
8,8,136306,1
1,6,127856,1
9,8,68304,1
8,1,141783,0
9,8,99449,1
4,4,112986,0
1,1,119643,0
3,8,50764,0
6,4,138940,0
7,6,116027,1
2,8,68494,1
0,4,33373,0
3,3,42161,0
1,9,127532,1
7,3,122658,0
3,9,130386,1
1,2,57350,0
5,2,123008,0
5,2,124297,1
9,6,55351,0
3,3,118668,1
5,9,144585,0
1,4,45305,0
9,1,105353,0
1,4,106797,1
9,1,95953,0
3,5,87458,0
7,4,137112,0
6,8,50358,0
8,8,33267,1
7,7,112745,1
4,3,119588,0
1,1,68513,1
4,1,56092,0
7,3,41338,0
9,6,30412,0
8,7,37543,1
8,6,135891,1
0,6,63496,1
8,6,90692,1
6,3,119084,1
8,6,122920,1
7,8,74425,1
0,2,68756,1
7,5,48888,1
7,1,65735,0
2,1,77295,1
0,5,147474,1
7,3,144352,1
2,4,113042,1
2,3,115999,1
0,1,47955,1
4,1,67841,1
9,5,100640,1
6,6,95510,1
9,3,64911,1
8,9,89031,1
6,5,118726,0
8,8,37357,0
7,1,62479,1
1,5,91476,1
0,3,74811,0
6,1,66208,1
6,4,50150,0
7,5,101180,0
4,7,73286,0
2,1,142856,0
7,3,98450,0
5,2,51352,1
2,9,85069,0
0,6,141888,1
2,3,140448,1
4,8,44397,0
2,8,71555,0
0,2,76959,1
4,6,30728,0
9,7,80517,0
6,2,149180,1
6,2,96234,1
8,1,69954,0
9,8,77280,1
9,1,109459,0
2,9,46779,0
6,6,93932,0
0,7,102936,1
3,7,54466,1
3,3,66939,1
4,2,99896,1
6,9,65270,1
6,8,89163,0
3,7,112637,0
6,9,81934,0
2,4,94895,0
5,4,62307,1
1,1,84098,0
9,8,90921,1
8,3,35486,0
4,7,38335,1
5,2,116900,1
3,2,132795,0
9,7,119112,0
6,6,127203,0
8,3,41130,0
6,9,117508,1
0,6,135955,0
0,6,148324,0
8,1,90566,1
8,4,96703,0
3,6,57192,0
8,6,31062,0
2,5,114076,0
6,1,119780,0
5,8,51545,1
7,5,51689,0
8,5,41174,0
4,7,118461,0
0,4,133033,0
2,6,39348,0
9,4,53714,1
7,3,68102,0
5,7,104460,1
7,8,132634,1
8,4,119930,0
3,2,36801,0
0,3,133150,0
0,1,102267,0
9,8,78136,1
3,3,53625,0
6,7,112873,0
1,5,130843,0
2,5,102592,0
0,7,107052,0
4,9,74261,0
0,5,31542,1
7,1,51677,1
0,1,76732,0
0,2,80343,0
1,6,69081,0
1,9,92856,1
5,8,123105,0
6,5,118858,1
4,1,49065,0
0,7,113460,0
0,5,118092,0
2,6,84693,0
1,7,56962,1
4,3,58295,1
9,3,43807,0
5,5,72348,0
6,6,56432,1
3,9,113285,1
6,5,136995,1
7,1,121792,1
0,4,87854,0
5,5,70262,1
7,5,67080,0
4,7,31324,1
3,4,121267,1
1,1,65909,1
5,5,119339,1
